Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Training_Time,Prediction_Time
Random Forest,0.9808660624370594,0.9814257980044246,0.9808660624370594,0.9809179588029507,0.9972770115886737,0.4783749580383301,0.011568307876586914
Logistic Regression,0.8761329305135952,0.8820242842987959,0.8761329305135952,0.8773441534871662,0.9660067603131286,0.02263784408569336,0.0005362033843994141
Decision Tree,0.9556898288016112,0.9562458050563055,0.9556898288016112,0.9557067395690476,0.9667673716012085,0.03056621551513672,0.0006062984466552734
SVM,0.945619335347432,0.9487789280236025,0.945619335347432,0.9458309747143844,0.9887216558203497,1.1633188724517822,0.2298133373260498
Gradient Boosting,0.9707955689828801,0.9710969611584167,0.9707955689828801,0.9707829988902096,0.9958288076961694,2.6421144008636475,0.004721164703369141
Naive Bayes,0.8157099697885196,0.8461168692964809,0.8157099697885196,0.8180697418224959,0.9118923096113885,0.0016057491302490234,0.0004820823669433594
